index,binder_name,page_number,slot_number,set_id,set_name,card_number,card_id,card_name,card_market_value
2-1-1,2,1,1,base4,NOT_FOUND,1,base4-1,,0.0
2-1-2,2,1,2,base4,NOT_FOUND,2,base4-2,,0.0
2-1-3,2,1,3,base4,NOT_FOUND,3,base4-3,,0.0
2-1-4,2,1,4,base4,NOT_FOUND,4,base4-4,,0.0
2-1-5,2,1,5,base4,NOT_FOUND,5,base4-5,,0.0
2-1-6,2,1,6,base4,NOT_FOUND,6,base4-6,,0.0
2-1-7,2,1,7,base4,NOT_FOUND,7,base4-7,,0.0
2-1-8,2,1,8,base4,NOT_FOUND,8,base4-8,,0.0
2-1-9,2,1,9,base4,NOT_FOUND,9,base4-9,,0.0
2-2-1,2,2,1,base4,NOT_FOUND,10,base4-10,,0.0
2-2-2,2,2,2,base4,NOT_FOUND,11,base4-11,,0.0
2-2-3,2,2,3,base4,NOT_FOUND,12,base4-12,,0.0
2-2-4,2,2,4,base4,NOT_FOUND,13,base4-13,,0.0
2-2-5,2,2,5,base4,NOT_FOUND,14,base4-14,,0.0
2-2-6,2,2,6,base4,NOT_FOUND,15,base4-15,,0.0
2-2-7,2,2,7,base4,NOT_FOUND,16,base4-16,,0.0
2-2-8,2,2,8,base4,NOT_FOUND,17,base4-17,,0.0
2-2-9,2,2,9,base4,NOT_FOUND,18,base4-18,,0.0
2-3-1,2,3,1,base4,NOT_FOUND,19,base4-19,,0.0
2-3-2,2,3,2,base4,NOT_FOUND,20,base4-20,,0.0
2-3-3,2,3,3,base4,NOT_FOUND,21,base4-21,,0.0
2-3-4,2,3,4,base4,NOT_FOUND,22,base4-22,,0.0
2-3-5,2,3,5,base4,NOT_FOUND,23,base4-23,,0.0
2-3-6,2,3,6,base4,NOT_FOUND,24,base4-24,,0.0
2-3-7,2,3,7,base4,NOT_FOUND,25,base4-25,,0.0
2-3-8,2,3,8,base4,NOT_FOUND,26,base4-26,,0.0
2-3-9,2,3,9,base4,NOT_FOUND,27,base4-27,,0.0
2-4-1,2,4,1,base4,NOT_FOUND,28,base4-28,,0.0
2-4-2,2,4,2,base4,NOT_FOUND,29,base4-29,,0.0
2-4-3,2,4,3,base4,NOT_FOUND,30,base4-30,,0.0
2-4-4,2,4,4,base4,NOT_FOUND,31,base4-31,,0.0
2-4-5,2,4,5,base4,NOT_FOUND,32,base4-32,,0.0
